at: 2020-03-28 12:54:13.245233 | Connected to manager
at: 2020-03-28 12:54:14.741449 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 12:54:18.373051 | Next was pressed while in: choosing_photo
at: 2020-03-28 12:54:19.680909 | Photo with id: 13 was chosen
at: 2020-03-28 12:54:26.277187 | Back was pressed while in: main
at: 2020-03-28 12:54:26.939456 | Exit was pressed while in: main_
at: 2020-03-28 12:54:35.545394 | Connected to manager
at: 2020-03-28 12:54:37.262434 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 12:54:59.915484 | Connected to manager
at: 2020-03-28 12:55:01.738785 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 12:55:02.847541 | Next was pressed while in: choosing_photo
at: 2020-03-28 12:55:03.850536 | Photo with id: 13 was chosen
at: 2020-03-28 12:55:07.783819 | Back was pressed while in: main
at: 2020-03-28 12:55:08.293672 | Exit was pressed while in: main_
at: 2020-03-28 12:55:09.745355 | Connected to manager
at: 2020-03-28 12:55:10.933200 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 12:56:21.905535 | Connected to manager
at: 2020-03-28 12:56:23.315484 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 12:56:24.578330 | Next was pressed while in: choosing_photo
at: 2020-03-28 12:56:25.099652 | Photo with id: 13 was chosen
at: 2020-03-28 12:56:28.214596 | Back was pressed while in: main
at: 2020-03-28 12:56:28.691348 | Exit was pressed while in: main_
at: 2020-03-28 12:56:30.707766 | Connected to manager
at: 2020-03-28 12:56:32.494255 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 12:57:20.945616 | Connected to manager
at: 2020-03-28 12:57:22.518408 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 12:57:26.207541 | Next was pressed while in: choosing_photo
at: 2020-03-28 12:57:26.754944 | Photo with id: 13 was chosen
at: 2020-03-28 12:57:31.280676 | Back was pressed while in: main
at: 2020-03-28 12:57:32.367055 | Exit was pressed while in: main_
at: 2020-03-28 12:57:34.265472 | Connected to manager
at: 2020-03-28 12:57:36.053530 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 12:58:25.035523 | Connected to manager
at: 2020-03-28 12:58:26.621705 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 12:58:31.293096 | Back was pressed while in: main
at: 2020-03-28 12:58:31.463984 | Exit was pressed while in: main_
at: 2020-03-28 12:58:34.385526 | Connected to manager
at: 2020-03-28 12:58:37.420918 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 12:59:49.295831 | Connected to manager
at: 2020-03-28 12:59:51.725761 | Exit was pressed while in: main_
at: 2020-03-28 13:01:48.638000 | Connected to manager
at: 2020-03-28 13:01:54.489741 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 13:02:52.178966 | Connected to manager
at: 2020-03-28 13:02:56.296342 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 13:02:58.211146 | back was pressed while in: main
at: 2020-03-28 13:02:59.411377 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 13:03:15.363249 | Connected to manager
at: 2020-03-28 13:03:16.804189 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 13:03:17.909460 | Back was pressed while in: main
at: 2020-03-28 13:03:18.778165 | Exit was pressed while in: main_
at: 2020-03-28 13:04:03.403620 | Connected to manager
at: 2020-03-28 13:04:06.678217 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 13:04:57.446671 | Connected to manager
at: 2020-03-28 13:04:59.005620 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 13:05:52.866459 | Connected to manager
at: 2020-03-28 13:05:57.397400 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 13:06:01.773404 | Back was pressed while in: main
at: 2020-03-28 13:06:03.152409 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 13:06:06.961896 | Connected to manager
at: 2020-03-28 13:09:46.708634 | Connected to manager
at: 2020-03-28 13:09:48.470978 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 13:09:54.172699 | Photo with id: 11 was chosen
at: 2020-03-28 13:09:56.745710 | Next was pressed while in: choosing_photo
at: 2020-03-28 13:09:57.288401 | Photo with id: 13 was chosen
at: 2020-03-28 13:10:19.873666 | Connected to manager
at: 2020-03-28 13:10:21.360924 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 13:10:22.289565 | Next was pressed while in: choosing_photo
at: 2020-03-28 13:10:22.790071 | Photo with id: 13 was chosen
at: 2020-03-28 14:43:18.827602 | Connected to manager
at: 2020-03-28 14:43:25.236272 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:43:31.490971 | back was pressed while in: choosing_live_camera
at: 2020-03-28 14:43:32.422768 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:43:33.310309 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:45:39.287607 | Connected to manager
at: 2020-03-28 14:45:50.025239 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:46:02.536388 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:48:04.787745 | Connected to manager
at: 2020-03-28 14:48:08.703435 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:48:09.587709 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:48:19.231056 | Back was pressed while in: live_video
at: 2020-03-28 14:48:21.185227 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:49:47.539547 | Connected to manager
at: 2020-03-28 14:49:54.232918 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:49:57.908699 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:50:06.891694 | Back was pressed while in: live_video
at: 2020-03-28 14:50:10.929433 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:50:59.059554 | Connected to manager
at: 2020-03-28 14:51:10.541936 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:51:12.185469 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:51:21.908311 | Back was pressed while in: live_video
at: 2020-03-28 14:51:24.695896 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:52:35.099465 | Connected to manager
at: 2020-03-28 14:52:38.699424 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 14:52:42.340945 | Back was pressed while in: choosing_photo
at: 2020-03-28 14:52:49.901152 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:52:53.138000 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:53:15.259189 | Back was pressed while in: live_video
at: 2020-03-28 14:54:27.219396 | Connected to manager
at: 2020-03-28 14:54:32.183138 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:54:36.870426 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:55:18.917041 | Back was pressed while in: live_video
at: 2020-03-28 14:58:31.216461 | Connected to manager
at: 2020-03-28 14:58:45.979792 | Connected to manager
at: 2020-03-28 14:58:47.506387 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:58:49.358786 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 14:59:40.289736 | Connected to manager
at: 2020-03-28 14:59:44.047644 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 14:59:44.923728 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:00:16.179591 | Connected to manager
at: 2020-03-28 15:00:21.903492 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:00:22.456817 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:01:27.969669 | Connected to manager
at: 2020-03-28 15:01:31.307813 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:01:31.840645 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:03:06.379950 | Connected to manager
at: 2020-03-28 15:03:12.489579 | Watch live camera was pressed while in: choose_live_camera
at: 2020-03-28 15:03:13.355763 | Camera with name of: Desktop, Was chosen to watch live video
at: 2020-03-28 15:03:28.146059 | Back was pressed while in: mid_video_camera_dc
at: 2020-03-28 15:03:39.599963 | Connected to manager
at: 2020-03-28 15:03:49.808935 | See photos was pressed while in: build_choose_photo
at: 2020-03-28 15:03:54.981812 | Back was pressed while in: choosing_photo
